name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
 Jane Carey , Mount Pleasant Elementary ," Wilmington , Delaware ", 1994 Award | K-6 Science 
" Gertrude Carocci,O.S.F. ", Conwell-Egan Catholic ," Fairless Hills , Pennsylvania ", 1994 Award | 7-12 Mathematics 
 Carolyn Clair Carrara , Henry Barnard School ," Providence , Rhode Island ", 1994 Award | K-6 Science 
 Stanley Chop , Zukeran Elementary School ," FPO , Armed Forces Pacific ", 1994 Award | K-6 Science 
 James Christensen , Galva-Holstein Middle School ," Galva , Iowa ", 1994 Award | K-6 Science 
 Mardene Collins , Colony Middle School ," Palmer , Alaska ", 1994 Award | 7-12 Mathematics 
 Neil Cooperman , Columbia High School ," Maplewood , New Jersey ", 1994 Award | 7-12 Mathematics 
 Susan Crawford , Hearthwood Elementary ," Vancouver , Washington ", 1994 Award | K-6 Science 
 Stephen Cremer , Braintree High School ," Braintree , Massachusetts ", 1994 Award | 7-12 Science 
 Lisa Crooks , Briarwood Elementary School ," Olathe , Kansas ", 1994 Award | K-6 Mathematics 
 Donna Dalton , Short Pump Elementary School ," Richmond , Virginia ", 1994 Award | K-6 Mathematics 
 Vern Davis , Mandan Senior High School ," Mandan , North Dakota ", 1994 Award | 7-12 Science 
 Cornelis de Groot , New Paltz High School ," New Paltz , New York ", 1994 Award | 7-12 Mathematics 
 John Diehl , Hinsdale Central High School ," Hinsdale , Illinois ", 1994 Award | 7-12 Mathematics 
 Ann Dominick , South Shades Crest Elementary ," Hoover , Alabama ", 1994 Award | K-6 Mathematics 
 Mary Dowell , Palmer Junior High School ," Independence , Missouri ", 1994 Award | 7-12 Mathematics 
 Ellen Ebert , Green Valley High School ," Henderson , Nevada ", 1994 Award | 7-12 Science 
 Sheila Emonet , Lanier Elementary School ," Baton Rouge , Louisiana ", 1994 Award | K-6 Science 
 M. Enright , Bayport Elementary School ," Bayport , Minnesota ", 1994 Award | K-6 Science 
 Joan Eschner , East Elementary School ," West Seneca , New York ", 1994 Award | K-6 Mathematics 
 Judy Ferrari , Pleasant Hill Elementary School ," Pleasant Hill , Oregon ", 1994 Award | K-6 Mathematics 
 Robert Feurer , North Bend Central ," North Bend , Nebraska ", 1994 Award | 7-12 Science 
 Shawn Fish , Oxbow Creek Elementary School ," Champlin , Minnesota ", 1994 Award | K-6 Mathematics 
 Joan Fitton , Clark Street School ," Worcester , Massachusetts ", 1994 Award | K-6 Mathematics 
 Ann R. Floyd , Royall Elementary School ," Florence , South Carolina ", 1994 Award | K-6 Science 
 Andrea Foster , Katherine Stinson Middle School ," San Antonio , Texas ", 1994 Award | 7-12 Science 
 Alida Frey , Henry Barnard School ," Providence , Rhode Island ", 1994 Award | K-6 Mathematics 
 Melody Frey , Kirkersville Elementary School ," Kirkersville , Ohio ", 1994 Award | K-6 Mathematics 
 Anna Fugere , Glenrock Middle School ," Glenrock , Wyoming ", 1994 Award | 7-12 Mathematics 
 Donald Gabriel , Brush High School ," Brush , Colorado ", 1994 Award | 7-12 Science 
 Arsenia Gallardo , Garapan Elementary School ," Saipan , Northern Mariana Islands ", 1994 Award | K-6 Mathematics 
 Ellen Gaylor , Iolani School ," Honolulu , Hawaii ", 1994 Award | K-6 Science 
 Michael Gessner , Minot High School ," Minot , North Dakota ", 1994 Award | 7-12 Mathematics 
 Sylvia Gilbert , Edward Kennedy Duke Ellington School ," Chicago , Illinois ", 1994 Award | K-6 Science 
 Linda Gleason ," Louisiana School for Math,Science and the Arts "," Natchitoches , Louisiana ", 1994 Award | 7-12 Mathematics 
 Leeza Glisson , Sudduth Elementary School ," Starkville , Mississippi ", 1994 Award | K-6 Science 
 Donna Goldenstein , Lorin Eden Elementary School ," Hayward , California ", 1994 Award | K-6 Mathematics 
" Dean Goodwin, Ph.D. ", Kimball Union Academy ," Meriden , New Hampshire ", 1994 Award | 7-12 Science 
 Janet Gray , Anderson Elementary School ," Conroe , Texas ", 1994 Award | K-6 Science 
 Ellen Greeke , Crescent Park Elementary School ," Bethel , Maine ", 1994 Award | K-6 Mathematics 
 Mary Grimes , Gwendolyn Woolley Elementary School ," Las Vegas , Nevada ", 1994 Award | K-6 Science 
 Teresa Gruendl , Islands Elementary School ," Savannah , Georgia ", 1994 Award | K-6 Science 
 Katherine Grzesiak , Eastlawn Elementary School ," Midland , Michigan ", 1994 Award | K-6 Mathematics 
 Danita Guarino , Ethel McKnight School ," East Windsor , New Jersey ", 1994 Award | K-6 Science 
 Sharon Hackley , Palo Christi Elementary School ," Kingman , Arizona ", 1994 Award | K-6 Science 
 Alan Hallee , Nashua Senior High School ," Nashua , New Hampshire ", 1994 Award | 7-12 Mathematics 
 Tonya Hancock , Martin Middle School ," Raleigh , North Carolina ", 1994 Award | 7-12 Science 
 Brenda Hartshorn , Moretown Elementary School ," Moretown , Vermont ", 1994 Award | K-6 Mathematics 
 Linda Hayek , Ralston High School ," Omaha , Nebraska ", 1994 Award | 7-12 Mathematics 
 E. Suzanne Henderson , East Prairie Elementary School ," Tuscola , Illinois ", 1994 Award | K-6 Mathematics 
 Pamela Henson , Foley High School ," Foley , Alabama ", 1994 Award | 7-12 Science 
 Sonya Herl , O&apos;Loughlin McCarthy Elementary ," Hays , Kansas ", 1994 Award | K-6 Science 
 Cojean Herrin , Agnes Risley Elementary School ," Sparks , Nevada ", 1994 Award | K-6 Mathematics 
 Larry Hesler , Stillwater High School ," Stillwater , Oklahoma ", 1994 Award | 7-12 Mathematics 
 Kathryn Hill , Athens Drive High School ," Raleigh , North Carolina ", 1994 Award | 7-12 Mathematics 
 Mark Hines , Mid-Pacific Institute ," Honolulu , Hawaii ", 1994 Award | 7-12 Science 
 Karen Hoiberg , Abbie Sawyer Elementary School ," Ames , Iowa ", 1994 Award | K-6 Mathematics 
 Jean Howard , C. R. Anderson Middle School ," Helena , Montana ", 1994 Award | 7-12 Mathematics 
 Bret Hoyer , John F. Kennedy High School ," Cedar Rapids , Iowa ", 1994 Award | 7-12 Mathematics 
 Connie Hubbard , Minerva High School ," Minerva , Ohio ", 1994 Award | 7-12 Science 
 Kelly HuffBenkoski , B.F. Morey Elementary School ," Stroudsburg , Pennsylvania ", 1994 Award | K-6 Science 
 Rebecca Hunt , Kaysville Elementary School ," Kaysville , Utah ", 1994 Award | K-6 Mathematics 
 Janet Jackson , Dutch Neck School ," Princeton Junction , New Jersey ", 1994 Award | K-6 Mathematics 
 Deborah Jagoda , St. John&apos;s Lane Elementary ," Ellicott City , Maryland ", 1994 Award | K-6 Mathematics 
 James Jenkins , South Jefferson Elementary ," Charles Town , West Virginia ", 1994 Award | K-6 Science 
 Susan Johnson , Monona Grove High School ," Monona , Wisconsin ", 1994 Award | 7-12 Science 
 Maureen Jones Froehlich , Alberton Joint District #2 ," Alberton , Montana ", 1994 Award | K-6 Mathematics 
 Ronald Kahn , Central High School ," Providence , Rhode Island ", 1994 Award | 7-12 Science 
 Brenda Kidder , Brandywine High School ," Wilmington , Delaware ", 1994 Award | 7-12 Mathematics 
 Martha Kilgore , E.S. Richardson Elementary School ," Minden , Louisiana ", 1994 Award | K-6 Mathematics 
 Leslie Kline , Metcalf Junior High School ," Burnsville , Minnesota ", 1994 Award | 7-12 Science 
 Joan Kocsis , Prospect Elementary School ," Monroe , North Carolina ", 1994 Award | K-6 Science 
 Holly Koop , West Elementary School ," Grand Forks , North Dakota ", 1994 Award | K-6 Mathematics 
 Charles Koppelman , Wilde Lake High School ," Columbia , Maryland ", 1994 Award | 7-12 Mathematics 
 Lillian Kovach , Instructional Resource Center ," Little Rock , Arkansas ", 1994 Award | K-6 Mathematics 
 John Kunkel , Greybull Elementary School ," Greybull , Wyoming ", 1994 Award | K-6 Science 
 Roger Larson , Yokota High School ," APO , Armed Forces Pacific ", 1994 Award | 7-12 Science 
 Roger Larson , Champlin Park High School ," Champlin , Minnesota ", 1994 Award | 7-12 Mathematics 
 Cynthia Lawson , Beaumont Middle School ," Lexington , Kentucky ", 1994 Award | 7-12 Mathematics 
" Thomas LeMonds, Sr. ", Hinks Elementary School ," Alpena , Michigan ", 1994 Award | K-6 Science 
 Denece Lord , Castle Rock Middle School ," Billings , Montana ", 1994 Award | 7-12 Science 
 Patricia Lytle , Toll Gate High School ," Warwick , Rhode Island ", 1994 Award | 7-12 Mathematics 
 John Mahoney , Benjamin Banneker Academic High School ," Washington , District of Columbia ", 1994 Award | 7-12 Mathematics 
 Kathleen Marko , Neely Elementary School ," Gilbert , Arizona ", 1994 Award | K-6 Mathematics 
 Betty Lou Marquart , Richholt Elementary School ," Bismarck , North Dakota ", 1994 Award | K-6 Science 
 James Mayes , Elkhart Memorial High School ," Elkhart , Indiana ", 1994 Award | 7-12 Mathematics 
 Amy McClelland , Indian Creek Elementary School ," Indianapolis , Indiana ", 1994 Award | K-6 Science 
 Jana McFadden , Acad. of Math/Science and ," Las Vegas , Nevada ", 1994 Award | 7-12 Mathematics 
 Nancy Bishop McGinty , Peter Crump Elementary School ," Montgomery , Alabama ", 1994 Award | K-6 Science 
 Susan McKay , Washington Avenue Elementary School ," Roswell , New Mexico ", 1994 Award | K-6 Mathematics 
 Jean McKenny , North Country Union High School ," Newport , Vermont ", 1994 Award | 7-12 Mathematics 
 Darrell Thomas Meador , Shawnee Mission South ," Shawnee Mission , Kansas ", 1994 Award | 7-12 Science 
 Mary Anne Melby , Bill J. Wilson ," Houston , Texas ", 1994 Award | K-6 Mathematics 
 Bobby Melton , Putnam City Schools ," Oklahoma City , Oklahoma ", 1994 Award | 7-12 Science 
 Duane Merrell , Emery High School ," Castle Dale , Utah ", 1994 Award | 7-12 Science 
 Karen Michalowicz , The Langley School ," McLean , Virginia ", 1994 Award | 7-12 Mathematics 
 Betty Montgomery , Lancaster Elementary School ," Lancaster , Kentucky ", 1994 Award | K-6 Mathematics 
 MarianAlice Moody , Oxford High School ," Oxford , Alabama ", 1994 Award | 7-12 Mathematics 
 Diane Moore , Traverse City East Jr. High ," Traverse City , Michigan ", 1994 Award | 7-12 Mathematics 
 Terri Moore , Wren Hollow Elementary ," Ballwin , Missouri ", 1994 Award | K-6 Mathematics 
 Clayton Ford Morishita , Clackamas High School ," Milwaukie , Oregon ", 1994 Award | 7-12 Science 
 Judith Morlan , Brownell Middle School ," Grosse Pointe Farms , Michigan ", 1994 Award | 7-12 Science 
 Patricia Moye , Hopson Middle School ," Barrow , Alaska ", 1994 Award | K-6 Mathematics 
 Andrea Mungas , Rainbow Elementary School ," APO , Armed Forces Europe ", 1994 Award | K-6 Mathematics 
 Carolyn Murphree , Rosa Fort Elementary School ," Tunica , Mississippi ", 1994 Award | 7-12 Mathematics 
 Mary Marguerite Murphy , Georges Valley High School ," Thomaston , Maine ", 1994 Award | 7-12 Science 
 Sandra Murphy , Jacques Elementary School ," Milford , New Hampshire ", 1994 Award | K-6 Mathematics 
 Ellen Neaville , Rogers High School ," Rogers , Arkansas ", 1994 Award | 7-12 Science 
 Melinda Newport , A. T. Mahan High School ," FPO , Armed Forces Europe ", 1994 Award | 7-12 Mathematics 
 Katherine Norris , The Fenn School ," Concord , Massachusetts ", 1994 Award | 7-12 Mathematics 
" Lisa Nyberg, Ph.D. "," California State University, Fresno "," Fresno , California ", 1994 Award | K-6 Science 
 Daniel Odell , Central High School ," St. Croix , Virgin Islands ", 1994 Award | 7-12 Science 
 Geraldine Okwesa , Hine School ," Washington , District of Columbia ", 1994 Award | 7-12 Science 
 Juan Ortiz Delgado , Tejas Second Unit School ," Yabucoa , Puerto Rico ", 1994 Award | 7-12 Mathematics 
 Janet Osborn , Sioux Falls School District ," Sioux Falls , South Dakota ", 1994 Award | K-6 Science 
" Thomas Ottinger, Ph.D. ", Gilmer High School ," Ellijay , Georgia ", 1994 Award | 7-12 Mathematics 
 Suzanne Pack , Sawtooth Elementary School ," Twin Falls , Idaho ", 1994 Award | K-6 Mathematics 
 George Parker , Edwin O. Smith High School ," Storrs , Connecticut ", 1994 Award | 7-12 Mathematics 
 Janet Parsons , Indian River Education Complex ," Selbyville , Delaware ", 1994 Award | K-6 Mathematics 
 Charles Pearce , Manchester Elementary School ," Manchester , Maryland ", 1994 Award | K-6 Science 
 Emily Gwynn Pearman , West Hills Elementary School ," Knoxville , Tennessee ", 1994 Award | K-6 Mathematics 
 Sheila Pell , McNinch Elementary School ," Moundsville , West Virginia ", 1994 Award | K-6 Mathematics 
 Elizabeth Perdue , Fairview Middle School ," Tallahassee , Florida ", 1994 Award | 7-12 Mathematics 
 Linda Phelps , Camden Central High School ," Camden , Tennessee ", 1994 Award | 7-12 Science 
 Rosalind Philips , New Century High School ," Olympia , Washington ", 1994 Award | 7-12 Science 
 Deborah Phillips , St. Vincent-St. Mary High School ," Akron , Ohio ", 1994 Award | 7-12 Mathematics 
 Judtih Pike , Orvis Risner Elementary School ," Edmond , Oklahoma ", 1994 Award | K-6 Mathematics 
 Terry Pipkin , Highland Elementary School ," Clovis , New Mexico ", 1994 Award | K-6 Science 
" Paul Pomeroy, Jr. ", Archmere Academy ," Claymont , Delaware ", 1994 Award | 7-12 Science 
" Horace Puglisi, Ph.D. ", Founders Memorial School ," Essex Junction , Vermont ", 1994 Award | K-6 Science 
 David Pysnik , Sidney High School ," Sidney , New York ", 1994 Award | 7-12 Science 
 Patricia Ramey , Williamsburg Independent School ," Williamsburg , Kentucky ", 1994 Award | K-6 Science 
 Gloria Ramsey , Macon Elementary ," Memphis , Tennessee ", 1994 Award | K-6 Science 
 Cheryl Reger , Buckhannon-Upshur High School ," Buckhannon , West Virginia ", 1994 Award | 7-12 Mathematics 
 Steven Reinhart , Chippewa Falls Middle School ," Chippewa Falls , Wisconsin ", 1994 Award | 7-12 Mathematics 
 Patricia Reistroffer , Beacon Hill Elementary School ," Longview , Washington ", 1994 Award | K-6 Mathematics 
 Juli Reutter , Minne Lusa Elementary School ," Omaha , Nebraska ", 1994 Award | K-6 Mathematics 
 Ezell Richardson , Garrison Elementary School ," Washington , District of Columbia ", 1994 Award | K-6 Science 
 Donna Robb , Turner County Middle School ," Ashburn , Georgia ", 1994 Award | K-6 Mathematics 
 Robert Robbins , Rio Grande High School ," Albuquerque , New Mexico ", 1994 Award | 7-12 Mathematics 
 Luisa Rodriguez de Barreto , Francisco Oller High School ," Catano , Puerto Rico ", 1994 Award | 7-12 Science 
 Marie Ross , Reeds Ferry Elementary School ," Merrimack , New Hampshire ", 1994 Award | K-6 Science 
 Phyllis Rumpp , E.T. Booth Middle School ," Woodstock , Georgia ", 1994 Award | 7-12 Science 
 Deborah Rushing , Lake Road School ," Union City , Tennessee ", 1994 Award | 7-12 Mathematics 
 Andreita Santiago Serrano , Tejas Second Unit School ," Yabucoa , Puerto Rico ", 1994 Award | K-6 Mathematics 
 John Schenck , Hot Springs County High School ," Thermopolis , Wyoming ", 1994 Award | 7-12 Science 
 Ernest Schiller , Central Lee High School ," Donnellson , Iowa ", 1994 Award | 7-12 Science 
 Jo Ann Schuette , Curtis Middle School ," Wichita , Kansas ", 1994 Award | 7-12 Mathematics 
 Sybil Sevic , Ravenel Elementary School ," Seneca , South Carolina ", 1994 Award | K-6 Mathematics 
 Ursula Sexton , Green Valley Elementary School ," Danville , California ", 1994 Award | K-6 Science 
 Wilma Shealy , Richard H. Gettys Middle School ," Easley , South Carolina ", 1994 Award | 7-12 Mathematics 
 Jacqueline Simms , Sandalwood High School ," Jacksonville , Florida ", 1994 Award | 7-12 Science 
 Stan Smith , Warrensburg Middle School ," Warrensburg , Missouri ", 1994 Award | 7-12 Science 
 Diane Spencer , Guilford County Schools ," Greensboro , North Carolina ", 1994 Award | K-6 Mathematics 
 Darrell Spendlove , Lewiston Elementary School ," Lewiston , Utah ", 1994 Award | K-6 Science 
 Bernice Stephens-Alleyne , Northwestern School ," Hyattsville , Maryland ", 1994 Award | K-6 Mathematics 
 Sandra Stokely , Ellis Elementary School ," Denver , Colorado ", 1994 Award | K-6 Science 
 Patricia Strawbridge , Portage High School ," Portage , Indiana ", 1994 Award | 7-12 Science 
 Leanne Summers , Lincoln County School District ," Brookhaven , Mississippi ", 1994 Award | K-6 Mathematics 
 Beverly Sussman , Ivy Hall Middle School ," Buffalo Grove , Illinois ", 1994 Award | 7-12 Science 
 Deborah Svedman , Wiggs Middle School ," El Paso , Texas ", 1994 Award | 7-12 Mathematics 
" John Swang, Ph.D. ", Instructional Technology Center ," Mandeville , Louisiana ", 1994 Award | 7-12 Science 
 Betty Takesuye , Chaparral High School ," Scottsdale , Arizona ", 1994 Award | 7-12 Mathematics 
 Matthew Teare , Anton Grdina Primary ," Cleveland , Ohio ", 1994 Award | K-6 Science 
 Tonia Thompson , Benjamin Franklin Elementary School ," Binghamton , New York ", 1994 Award | K-6 Science 
 Gail Torrence , Webster Elementary School ," Webster , South Dakota ", 1994 Award | K-6 Mathematics 
 Janice Truchot , Sundance Elementary School ," Sundance , Wyoming ", 1994 Award | K-6 Mathematics 
 Gary Tsuruda , Jordan Middle School ," Palo Alto , California ", 1994 Award | 7-12 Mathematics 
 George Tucker , Caldwell High School ," Caldwell , Idaho ", 1994 Award | 7-12 Mathematics 
 Rico Tyler , Franklin Simpson High School ," Franklin , Kentucky ", 1994 Award | 7-12 Science 
 Carol Upchurch , Jefferson Elementary School ," Norman , Oklahoma ", 1994 Award | K-6 Science 
 Christine Villano , Denali Elementary School ," Fairbanks , Alaska ", 1994 Award | K-6 Science 
 Judith Vondruska , South Dakota State University ," Brookings , South Dakota ", 1994 Award | 7-12 Science 
 Carol Wallach , Robert W. Carbone School ," East Haven , Connecticut ", 1994 Award | K-6 Mathematics 
